query,label
Can you add this song to my playlist?,add
I'd like to add this track to the playlist.,add
Please include this song in my playlist.,add
Add this to my song list.,add
"Put this track into my playlist, please.",add
Could you remove this song from my playlist?,remove
Please take this song out of my playlist.,remove
I want this song removed from the list.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Show me the songs currently in my playlist.,show
Display my current playlist.,show
Could you show my playlist?,show
Let me see the playlist I have.,show
Show what’s on my playlist right now.,show
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clearn
Please empty my playlist.,clear
Please empty my playlist.,clear
Please empty my playlist.,clear
Please empty my playlist.,clear
Remove every song from my playlist.,clear
Clear out the entire playlist.,clear
Erase all items from my playlist.,clear
When was this album released?,date album
Can you tell me the release date of this album?,date album
What is the release year of this album?,date album
When did this album come out?,date album
Tell me when this album was released.,date album
How many songs does this artist have?,number songs
Give me the total number of songs by this artist.,number songs
Can you tell me how many songs this artist has?,number songs
What’s the song count for this artist?,number songs
Please show me the number of songs by this artist.,number songs
How many albums has this artist released?,number albums
What’s the total number of albums by this artist?,number albums
Could you give me the album count for this artist?,number albums
Tell me how many albums this artist has.,number albums
I’d like to know the number of albums by this artist.,number albums
Which album is this song part of?,which album
Can you tell me which album has this song?,which album
What album does this song belong to?,which album
Tell me the album containing this song.,which album
I need to know the album for this song.,which album
I would like to what is the release year of this album?,date album
Clear all the songs in my playlist.,clear
I need to know the album for a song.,which album
Could you tell me which album has this song?,which album
When did this album come out? please.,date album
I would like to how many songs does this artist have?,number songs
Please show me the number of songs by this artist. please.,number songs
Could you tell me which album has a song,which album
I would like to let me see the playlist i have.,show
Clear all the songs in my playlist.,clear
I would like to i'd like to add this track to the playlist.,add
What’s the song count for a artist,number songs
I would like to please include this song in my playlist.,add
Erase a track from my playlist.,remove
Add this to my song list.,add
Tell me when this album was released.,date album
Erase a track from my playlist.,remove
I would like to please empty my playlist.,clear
I would like to could you tell me which album has a song,which album
"Put this track into my playlist, please.",add
Could you tell me which album has this song? please.,which album
I want a song removed from the list.,remove
Remove every song from my playlist.,clear
Remove every song from my playlist.,clear
Remove every song from my playlist.,clear
Add this to my song list. please.,add
Could you give me the album count for a artist,number albums
Could you give me the album count for this artist?,number albums
What’s the song count for a artist,number songs
Clear out the entire playlist.,clear
Erase a track from my playlist.,remove
Erase a track from my playlist.,remove
Erase a track from my playlist.,remove
Can you tell me how many songs this artist has?,number songs
Can you add this song to my playlist? please.,add
I’d like to know the number of albums by a artist.,number albums
Could you give me the album count for a artist,number albums
What is the release year of this album? please.,date album
I would like to what is the release year of this album?,date album
I would like to show what’s on my playlist right now.,show
Which album is this song part of?,which album
"Put this track into my playlist, please. please.",add
Display my current playlist.,show
I would like to please empty my playlist.,clear
Tell me how many albums this artist has.,number albums
Add this to my song list.,add
I would like to could you remove this song from my playlist?,remove
I would like to could you remove this song from my playlist?,remove
I would like to i would like to please empty my playlist.,clear
When was this album released?,date album
Please take this song out of my playlist.,remove
Could you tell me how many songs this artist has?,number songs
"Put this track into my playlist, please. please.",add
Could you tell me how many songs this artist has?,number songs
When did this album come out?,date album
Give me the total number of songs by this artist.,number songs
Could you tell me the release date of this album?,date album
I would like to could you remove this song from my playlist?,remove
I would like to what’s the total number of albums by this artist?,number albums
Add this to my song list. please. please.,add
Add this to my song list. please. please. please.,add
Add this to my song list. please.,add
Add this to my song list.,add
I’d like to know the number of albums by this artist.,number albums
Let me see the playlist I have. please.,show
Let me see the playlist I have.,show
Could you give me the album count for a artist,number albums
I would like to show what’s on my playlist right now.,show
I would like to how many songs does this artist have? please.,number songs
I would like to clear all the songs in my playlist.,clear
I would like to could you tell me which album has this song? please.,which album
I would like to show what’s on my playlist right now.,show
I would like to i need to know the album for this song.,which album
Could you tell me how many songs this artist has?,number songs
Could you give me the album count for a artist,number albums
I'd like to add this track to the playlist. please.,add
I’d like to know the number of albums by this artist.,number albums
I would like to i would like to could you remove this song from my playlist?,remove
I would like to i would like to could you erase this song from my playlist?,remove
I would like to i would like to could you delete this song from my playlist?,remove
Tell me how many albums a artist has.,number albums
I would like to what’s the total number of albums by this artist?,number albums
I'd like to add a track to the playlist.,add
Which album is this song part of? please.,which album
I would like to could you give me the album count for a artist,number albums
I would like to i'd like to add this track to the playlist. please.,add
I would like to i need to know the album for this song.,which album
Could you give me the album count for a artist,number albums
I would like to show what’s on my playlist right now.,show
I would like to i need to know the album for a song.,which album
"Put this track into my playlist, please. please. please.",add
Please show me the number of songs by a artist. please.,number songs
I would like to add this to my song list. please. please. please.,add
I would like to how many songs does this artist have?,number songs
I would like to clear all the songs in my playlist.,clear
I would like to could you tell me which album has this song?,which album
Add this to my song list. please. please. please.,add
I would like to can you tell me which album has this song?,which album
I would like to show me the songs currently in my playlist.,show
I would like to i'd like to add this track to the playlist.,add
Clear all the songs in my playlist.,clear
When did this album come out?,date album
I would like to what’s the song count for a artist,number songs
Please show me the number of songs by a artist. please.,number songs
I would like to i need to know the album for a song.,which album
Add this to my song list. please. please. please.,add
Clear all the songs in my playlist.,clear
I need to know the album for this song.,which album
Let me see the playlist I have. please.,show
I would like to when did this album come out? please.,date album
I would like to how many songs does a artist have please.,number songs
Add a to my song list. please.,add
How many songs does this artist have?,number songs
Add a to my song list. please.,add
Please include a song in my playlist.,add
"Put this track into my playlist, please. please.",add
Can you tell me how many songs a artist has,number songs
I would like to can you tell me which album has this song?,which album
Add this to my song list. please. please. please. please.,add
Could you give me the album count for a artist,number albums
I would like to can you tell me how many songs a artist has,number songs
I would like to can you tell me which album has this song?,which album
How many songs does this artist have? please.,number songs
How many songs does this artist have? please.,number songs
I would like to could you give me the album count for a artist,number albums
I would like to add this to my song list. please. please. please. please.,add
Clear out the entire playlist.,clear
I would like to add this to my song list. please. please. please. please.,add
I would like to i would like to what’s the total number of albums by this artist?,number albums
"Put this track into my playlist, please.",add
Add a to my song list. please. please. please. please.,add
Erase a track from my playlist.,remove
Show what’s on my playlist right now.,show
Clear all the songs in my playlist.,clear
Please empty my playlist.,clear
What’s the song count for a artist,number songs
Which album is this song part of? please.,which album
Add a to my song list. please.,add
I would like to i would like to show what’s on my playlist right now.,show
What’s the song count for this artist?,number songs
I would like to what’s the song count for a artist,number songs
Erase a track from my playlist.,remove
I would like to i'd like to add a track to the playlist.,add
Add this to my song list. please. please. please.,add
I’d like to know the number of albums by this artist.,number albums
Add this to my song list. please. please. please. please.,add
Could you tell me the release date of this album? please.,date album
I would like to can you add this song to my playlist?,add
Tell me when this album was released.,date album
I’d like to know the number of albums by a artist.,number albums
Tell me when this album was released.,date album
I would like to please empty my playlist.,clear
I would like to erase a track from my playlist.,remove
I would like to i need to know the album for this song.,which album
I would like to what is the release year of this album? please.,date album
Add this to my song list. please.,add
I would like to show what’s on my playlist right now.,show
Add this to my song list. please. please.,add
I would like to i would like to what is the release year of this album?,date album
Erase a track from my playlist.,remove
I'd like to add a track to the playlist. please.,add
Could you tell me how many songs a artist has,number songs
Could you remove a song from my playlist,remove
I would like to let me see the playlist i have. please.,show
I would like to tell me when this album was released.,date album
I would like to can you add a song to my playlist,add
Give me the total number of songs by this artist. please.,number songs
Add this to my song list. please. please.,add
I would like to can you tell me the release date of this album?,date album
Could you tell me which album has this song? please. please.,which album
I would like to can you tell me how many songs a artist has,number songs
Can you tell me the release date of this album? please.,date album
Could you tell me the release date of a album,date album
I would like to i would like to let me see the playlist i have. please.,show
Erase a track from my playlist.,remove
Add this to my song list. please.,add
Add this to my song list. please. please. please.,add
Give me the total number of songs by this artist. please.,number songs
I would like to i would like to what is the release year of this album?,date album
Add this to my song list.,add
I would like to i need to know the album for this song.,which album
When did this album come out? please.,date album
How many songs does this artist have? please. please.,number songs
I would like to what is the release year of this album? please.,date album
I'd like to add a track to the playlist. please.,add
I would like to i would like to how many songs does this artist have?,number songs
Could you remove this song from my playlist? please.,remove
I would like to what is the release year of this album? please.,date album
Tell me when this album was released. please.,date album
Tell me the album containing this song. please.,which album
I would like to i would like to can you add a song to my playlist,add
I’d like to know the number of albums by a artist.,number albums
I would like to i need to know the album for a song.,which album
I would like to i would like to could you remove this song from my playlist?,remove
Tell me when this album was released.,date album
I would like to i would like to let me see the playlist i have. please. please.,show
Could you give me the album count for this artist?,number albums
Display my current playlist. please.,show
Could you give me the album count for a artist,number albums
I would like to can you tell me which album has this song? please.,which album
Please empty my playlist.,clear
Clear all the songs in my playlist. please.,clear
I would like to show me the songs currently in my playlist. please.,show
I would like to can you tell me which album has this song? please.,which album
Delete a track from my playlist.,remove
How many songs does this artist have? please.,number songs
Could you give me the album count for a artist,number albums
I would like to let me see the playlist i have. please.,show
Let me see the playlist I have. please.,show
I would like to add this to my song list.,add
Erase a track from my playlist. please.,remove
I would like to show what’s on my playlist right now.,show
I would like to what’s the song count for a artist,number songs
Clear all the songs in my playlist.,clear
I would like to can you add a song to my playlist,add
I'd like to add this track to the playlist. please.,add
Delete a track from my playlist.,remove
I would like to when did this album come out?,date album
Let me see the playlist I have. please.,show
I would like to i would like to i need to know the album for this song.,which album
Add this to my song list. please.,add
Could you tell me the release date of a album,date album
Add this to my song list. please.,add
I would like to clear all the songs in my playlist. please.,clear
Tell me when this album was released. please.,date album
Could you give me the album count for a artist,number albums
I would like to please show me the number of songs by this artist. please.,number songs
 empty my playlist.,clear
Clear all the songs in my playlist.,clear
I'd like to add a track to the playlist.,add
I'd like to add this track to the playlist. please.,add
I would like to can you tell me which album has this song? please.,which album
I would like to i would like to let me see the playlist i have. please. please.,show
Tell me when this album was released. please.,date album
Could you give me the album count for a artist,number albums
What album does this song belong to?,which album
I'd like to add a track to the playlist. please. please.,add
Could you tell me how many songs this artist has?,number songs
Could you show my playlist?,show
I would like to tell me the album containing this song.,which album
I would like to please empty my playlist.,clear
I would like to show what’s on my playlist right now.,show
Add this to my song list. please.,add
Add this to my song list. please. please. please.,add
I would like to let me see the playlist i have. please.,show
Delete a track from my playlist.,remove
I would like to could you give me the album count for a artist,number albums
Can you tell me how many songs a artist has,number songs
I'd like to add a track to the playlist. please.,add
How many songs does this artist have?,number songs
I'd like to add a track to the playlist. please.,add
I would like to what’s the total number of albums by this artist?,number albums
I would like to add this to my song list. please.,add
Delete a song from my playlist.,remove
Please show me the number of songs by this artist. please.,number songs
I would like to add this to my song list. please. please. please.,add
Could you give me the album count for a artist please.,number albums
Let me see the playlist I have.,show
I would like to can you tell me which album has a song,which album
I would like to can you tell me the release date of this album?,date album
Add this to my song list.,add
Tell me when a album was released. please.,date album
 empty my playlist. please.,clear
I would like to show what’s on my playlist right now. please.,show
Tell me how many albums this artist has.,number albums
Add this to my song list. please.,add
I would like to i would like to i would like to how many songs does this artist have?,number songs
Could you tell me which album has this song?,which album
I would like to can you tell me which album has a song please.,which album
I'd like to add a track to the playlist. please.,add
Erase a track from my playlist. please.,remove
"Put a track into my playlist, please. please.",add
Let me see the playlist I have. please.,show
I would like to what is the release year of this album?,date album
I would like to i would like to i need to know the album for this song.,which album
"I would like to put this track into my playlist, please. please.",add
I would like to please empty my playlist.,clear
I would like to let me see the playlist i have. please.,show
I would like to can you tell me which album has this song?,which album
Delete a track from my playlist.,remove
"Put this track into my playlist, please.",add
Add a to my song list. please.,add
I'd like to add this track to the playlist. please. please.,add
I would like to what’s the total number of albums by this artist?,number albums
I would like to add this to my song list. please. please. please.,add
Erase all items from my playlist.,clear
Clear all the songs in my playlist.,clear
I would like to i would like to how many songs does a artist have,number songs
I would like to tell me when this album was released.,date album
How many songs does this artist have? please.,number songs
Can you tell me how many songs a artist has please.,number songs
I would like to please delete this song out of my playlist.,remove
Remove every song from my playlist.,clear
I would like to add this to my song list. please.,add
 include this song in my playlist.,add
Clear all the songs in my playlist.,clear
I would like to could you tell me how many songs this artist has?,number songs
Add a to my song list. please.,add
I would like to please empty my playlist. please.,clear
Please show me the number of songs by this artist. please. please.,number songs
Could you tell me the release date of a album,date album
I’d like to know the number of albums by this artist. please.,number albums
Can you tell me how many songs a artist has please. please.,number songs
I would like to can you tell me which album has this song?,which album
I would like to show what’s on my playlist right now.,show
Clear all the songs in my playlist.,clear
Erase a track from my playlist. please.,remove
Could you give me the album count for a artist please.,number albums
I’d like to know the number of albums by a artist.,number albums
"I would like to put this track into my playlist, please. please.",add
Let me see the playlist I have.,show
I would like to can you tell me which album has a song,which album
I would like to what is the release year of a album,date album
 show me the number of songs by this artist. please.,number songs
Add this to my song list. please.,add
Could you give me the album count for a artist,number albums
Please empty my playlist. please.,clear
Could you tell me how many songs this artist has?,number songs
What album does a song belong to,which album
I would like to add this to my song list. please.,add
I would like to i would like to can you add a song to my playlist please.,add
I would like to how many songs does this artist have?,number songs
Could you erase this song from my playlist? please.,remove
Could you delete this song from my playlist? please.,remove
Could you remove this song from my playlist? please.,remove
Please show me the number of songs by a artist. please.,number songs
I would like to i would like to i would like to what is the release year of this album?,date album
"I would like to put this track into my playlist, please. please. please.",add
I would like to add this to my song list. please.,add
I would like to when did this album come out?,date album
What album does this song belong to? please.,which album
Could you tell me the release date of this album? please. please.,date album
I would like to i would like to erase a track from my playlist.,remove
delete a track from my playlist. please.,remove
Erase a track from my playlist. please.,remove
I would like to i would like to i need to know the album for a song.,which album
I would like to i would like to show what’s on my playlist right now.,show
I would like to how many songs does this artist have? please.,number songs
Add this to my song list. please. please. please.,add
I would like to i'd like to add a track to the playlist. please.,add
I would like to i would like to i would like to how many songs does a artist have,number songs
Show what’s on my playlist right now. please.,show
Display my current playlist. please.,show
I’d like to know the number of albums by this artist.,number albums
Which album is this song part of? please.,which album
I would like to could you give me the album count for a artist,number albums
Delete a track from my playlist.,remove
I would like to tell me how many albums this artist has.,number albums
What’s the song count for a artist,number songs
I would like to what is the release year of this album? please.,date album
Can you tell me how many songs this artist has?,number songs
I would like to add this to my song list. please. please.,add
Please empty my playlist.,clear
I would like to i would like to show me the songs currently in my playlist.,show
Clear all the songs in my playlist.,clear
I would like to add this to my song list. please.,add
Display my current playlist. please.,show
Please show me the number of songs by this artist. please.,number songs
"I would like to put a track into my playlist, please. please.",add
Could you show my playlist?,show
I would like to add this to my song list. please. please.,add
I would like to when did this album come out?,date album
I’d like to know the number of albums by a artist.,number albums
"Put this track into my playlist, please. please.",add
I would like to i would like to show me the songs currently in my playlist.,show
I would like to i would like to can you tell me which album has a song,which album
I would like to let me see the playlist i have. please.,show
I would like to i would like to can you tell me which album has this song? please.,which album
Could you tell me how many songs this artist has?,number songs
Add a to my song list. please.,add
I would like to i would like to i need to know the album for a song.,which album
Could you tell me how many songs this artist has? please.,number songs
Tell me when a album was released. please.,date album
How many songs does this artist have? please.,number songs
I would like to can you tell me which album has this song?,which album
I would like to i would like to i would like to how many songs does a artist have,number songs
Can you tell me how many songs a artist has please. please.,number songs
I’d like to know the number of albums by this artist. please.,number albums
I would like to i would like to when did this album come out?,date album
I would like to i would like to can you add a song to my playlist please.,add
What year was this album released?,date album
Can you tell me the album release date?,date album
When did this album come out?,date album
What is the release date for this album?,date album
Could you give me the release year of the album?,date album
When was this album first released?,date album
Tell me the release year of this album.,date album
What's the year this album was published?,date album
Can you provide the album's release date?,date album
What genre does this artist belong to?,genre artist
What type of music does this artist make?,genre artist
Can you tell me the genre of this artist?,genre artist
What style of music does this artist perform?,genre artist
What musical genre is associated with this artist?,genre artist
In which genre is this artist's music categorized?,genre artist
Can you identify this artist's genre?,genre artist
How would you describe the genre of this artist?,genre artist
What type of songs does this artist produce?,genre artist
How many songs are there by this artist?,number songs
Can you count the songs this artist has?,number songs
Tell me how many songs this artist has released.,number songs
What's the total number of songs by this artist?,number songs
How many tracks has this artist recorded?,number songs
How many songs has this artist published?,number songs
What is the song count for this artist?,number songs
Delete a track from my playlist.,remove
Could you tell me the number of songs by this artist?,number songs
Is there a count of songs for this artist?,number songs
How many albums does this artist have?,number albums
What's the total album count of this artist?,number albums
Can you give me the number of albums by this artist?,number albums
How many albums has this artist made?,number albums
How many records has this artist produced?,number albums
What’s the count of albums from this artist?,number albums
Can you tell me how many albums they have?,number albums
Could you provide the number of albums for this artist?,number albums
How many albums did this artist release?,number albums
Which album features this song?,which album
What album includes this song?,which album
On what album can I find this song?,which album
"Where is this song located, which album?",which album
Could you tell me the album containing this song?,which album
What record is this song part of?,which album
Do you know the album for this track?,which album
In which album was this song released?,which album
Tell me the album that has this song.,which album
Can you play a random song by this artist?,give song
Give me a random track by this artist.,give song
"Play a song by this artist, chosen at random.",give song
Can you provide any song by this artist?,give song
Select a random song from this artist's discography.,give song
Could you choose a random song by them?,give song
Find me a random song from this artist.,give song
Could you randomly pick a song by this artist?,give song
Please play any song by this artist.,give song
What year was this album released?,date album
Can you tell me the album release date?,date album
When did this album come out?,date album
